Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
96291,00000285,false,Rx,0,8,00,00,02,00,00,00,00,00,
106291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
111291,00000285,false,Rx,0,8,00,00,02,00,00,00,00,10,
116291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
166291,00000285,false,Rx,0,8,00,00,03,3A,7E,00,08,10,
196291,00000285,false,Rx,0,8,00,00,03,3A,7D,00,08,10,
231291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
241291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
251291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
261291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
271291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
301291,00000285,false,Rx,0,8,00,00,03,3A,7A,00,08,10,
366291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
376291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
386291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
396291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
406291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
416291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
426291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
436291,00000285,false,Rx,0,8,00,00,03,38,7B,00,08,10,
446291,00000285,false,Rx,0,8,00,00,13,38,7B,00,08,10,
501291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
511291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
521291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
531291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
541291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
551291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
561291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
571291,00000285,false,Rx,0,8,00,00,14,38,8C,FE,0C,10,
581291,00000285,false,Rx,0,8,00,00,14,38,8C,FE,0C,10,
591291,00000285,false,Rx,0,8,00,00,14,38,8D,FE,0C,10,
611291,00000285,false,Rx,0,8,00,00,14,38,8D,FE,0C,10,
636291,00000287,false,Rx,0,8,27,FE,27,E4,27,10,03,00,
716291,00000285,false,Rx,0,8,00,00,14,38,8E,FE,0C,10,
726291,00000285,false,Rx,0,8,00,00,14,38,8F,FE,0C,10,
736291,00000285,false,Rx,0,8,00,00,14,38,8F,FE,0C,10,
746291,00000285,false,Rx,0,8,00,00,14,38,8F,FE,0C,10,
756291,00000285,false,Rx,0,8,00,00,14,38,8F,FE,0C,10,
766291,00000285,false,Rx,0,8,00,00,14,38,8F,FE,0C,10,
776291,00000285,false,Rx,0,8,00,00,14,38,8F,FE,0C,10,
781291,00000287,false,Rx,0,8,28,31,28,14,27,10,03,00,
786291,00000285,false,Rx,0,8,00,00,14,38,8F,FE,0C,10,
791291,00000287,false,Rx,0,8,28,4D,28,2E,27,10,03,00,
801291,00000287,false,Rx,0,8,28,69,28,47,27,10,03,00,
811291,00000287,false,Rx,0,8,28,7F,28,5C,27,10,03,00,
821291,00000287,false,Rx,0,8,28,8F,28,6C,27,10,03,00,
851291,00000285,false,Rx,0,8,00,00,14,38,90,FE,0C,10,
861291,00000285,false,Rx,0,8,00,00,14,38,90,FE,0C,10,
871291,00000285,false,Rx,0,8,00,00,14,38,91,FE,0C,10,
881291,00000285,false,Rx,0,8,00,00,14,38,91,FE,0C,10,
891291,00000285,false,Rx,0,8,00,00,14,38,91,FE,0C,10,
901291,00000285,false,Rx,0,8,00,00,14,38,91,FE,0C,10,
911291,00000285,false,Rx,0,8,00,00,14,38,91,FE,0C,10,
916291,00000287,false,Rx,0,8,29,2E,29,06,27,10,03,00,
921291,00000285,false,Rx,0,8,00,00,14,38,91,FE,0C,10,
926291,00000287,false,Rx,0,8,29,3C,29,17,27,10,03,00,
936291,00000287,false,Rx,0,8,29,41,29,23,27,10,03,00,
946291,00000287,false,Rx,0,8,29,45,29,29,27,10,03,00,
956291,00000287,false,Rx,0,8,29,46,29,2C,27,10,03,00,
966291,00000287,false,Rx,0,8,29,45,29,2C,27,10,03,00,
976291,00000287,false,Rx,0,8,29,42,29,2A,27,10,03,00,
986291,00000285,false,Rx,0,8,00,00,14,38,90,FE,0C,10,
996291,00000285,false,Rx,0,8,00,00,14,38,90,FE,0C,10,
1051291,00000287,false,Rx,0,8,29,0B,28,F5,27,10,03,00,
1071291,00000287,false,Rx,0,8,28,F5,28,E0,27,10,03,00,
1111291,00000287,false,Rx,0,8,28,CE,28,B9,27,10,03,00,
1121291,00000285,false,Rx,0,8,00,00,14,39,8F,FE,0C,10,
1131291,00000285,false,Rx,0,8,00,00,14,39,8F,FE,0C,10,
1141291,00000285,false,Rx,0,8,00,00,14,39,8F,FE,0C,10,
1151291,00000285,false,Rx,0,8,00,00,14,39,8F,FE,0C,10,
1161291,00000285,false,Rx,0,8,00,00,14,39,8F,FE,0C,10,
1171291,00000285,false,Rx,0,8,00,00,14,39,8F,FE,0C,10,
1191291,00000286,false,Rx,0,8,00,00,00,3E,00,00,21,00,
1196291,00000287,false,Rx,0,8,28,CE,28,AC,27,10,03,00,
1231291,00000286,false,Rx,0,8,00,00,00,3D,00,00,21,00,
1266291,00000285,false,Rx,0,8,00,00,14,39,8F,FE,0C,10,
1276291,00000285,false,Rx,0,8,00,00,14,39,8F,FE,0C,10,
1286291,00000285,false,Rx,0,8,00,00,14,39,8F,FE,0C,10,
1296291,00000285,false,Rx,0,8,00,00,14,39,8F,FE,0C,10,
1306291,00000285,false,Rx,0,8,00,00,14,39,8F,FE,0C,10,
1326291,00000285,false,Rx,0,8,00,00,14,39,8F,FE,0C,10,
1331291,00000287,false,Rx,0,8,28,E4,28,C3,27,10,03,00,
1346291,00000285,false,Rx,0,8,00,00,14,39,8F,FE,0C,10,
1401291,00000285,false,Rx,0,8,00,00,14,39,8F,FE,0C,10,
1476291,00000287,false,Rx,0,8,28,C8,28,9E,27,10,03,00,
1486291,00000287,false,Rx,0,8,28,C3,28,9B,27,10,03,00,
1506291,00000287,false,Rx,0,8,28,B4,28,90,27,10,03,00,
1546291,00000285,false,Rx,0,8,00,00,14,39,8F,FE,0C,10,
1611291,00000287,false,Rx,0,8,27,FB,27,DF,27,10,03,00,
1621291,00000287,false,Rx,0,8,27,F5,27,D8,27,10,03,00,
1631291,00000287,false,Rx,0,8,27,F2,27,D4,27,10,03,00,
1641291,00000287,false,Rx,0,8,27,EE,27,D0,27,10,03,00,
1651291,00000287,false,Rx,0,8,27,E6,27,C8,27,10,03,00,
1661291,00000287,false,Rx,0,8,27,D0,27,B6,27,10,03,00,
1671291,00000287,false,Rx,0,8,27,B0,27,9B,27,10,03,00,
1681291,00000285,false,Rx,0,8,00,00,14,39,8F,FE,0C,10,
1686291,00000371,false,Rx,0,8,30,00,00,00,00,00,00,00,
1691291,00000285,false,Rx,0,8,00,00,14,39,8F,FE,0C,10,
1706291,00000371,false,Rx,0,8,31,00,00,00,00,00,00,00,
1746291,00000287,false,Rx,0,8,27,24,27,21,27,10,03,00,
1756291,00000287,false,Rx,0,8,27,1E,27,1C,27,10,03,00,
1766291,00000287,false,Rx,0,8,27,19,27,18,27,10,03,00,
1776291,00000287,false,Rx,0,8,27,16,27,15,27,10,03,00,
1786291,00000287,false,Rx,0,8,27,14,27,14,27,10,03,00,
1796291,00000287,false,Rx,0,8,27,13,27,13,27,10,03,00,
1806291,00000287,false,Rx,0,8,27,12,27,12,27,10,03,00,
1816291,00000285,false,Rx,0,8,00,00,14,39,8F,FE,0C,10,
1826291,00000285,false,Rx,0,8,00,00,14,39,8F,FE,0C,10,
