Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
96291,00000285,false,Rx,0,8,00,00,02,00,00,00,00,00,
101291,00000370,false,Rx,0,8,00,00,00,00,00,00,00,00,
106291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
111291,00000285,false,Rx,0,8,00,00,02,00,00,00,00,10,
116291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
121291,00000370,false,Rx,0,8,00,00,00,00,00,00,00,00,
126291,00000732,false,Rx,0,8,03,E8,03,E8,64,64,1A,1A,
131291,00000374,false,Rx,0,8,00,00,00,00,00,00,00,F0,
141291,00000362,false,Rx,0,8,00,00,00,00,00,00,00,00,
151291,00000374,false,Rx,0,8,0A,B9,5B,00,3C,3C,00,30,
161291,00000362,false,Rx,0,8,00,00,00,00,00,00,00,00,
166291,00000285,false,Rx,0,8,00,00,03,3A,7E,00,08,10,
171291,00000374,false,Rx,0,8,0A,B9,5B,00,4A,48,00,30,
176291,00000569,false,Rx,0,8,0A,80,00,00,00,00,00,00,
181291,00000424,false,Rx,0,8,05,7E,00,1F,09,4B,00,00,
191291,00000374,false,Rx,0,8,B3,B9,2B,EA,4A,48,40,30,
196291,00000285,false,Rx,0,8,00,00,03,3A,7D,00,08,10,
201291,00000362,false,Rx,0,8,01,00,10,04,00,00,00,00,
211291,00000374,false,Rx,0,8,B3,B9,2B,EB,4A,48,40,30,
216291,00000569,false,Rx,0,8,0A,80,00,00,00,00,00,00,
221291,00000424,false,Rx,0,8,05,7C,00,1F,09,4B,00,00,
231291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
236291,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
241291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
251291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
256291,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
261291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
271291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
276291,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
281291,00000289,false,Rx,0,8,27,10,4E,20,18,01,11,10,
296291,00000362,false,Rx,0,8,04,03,10,03,00,00,00,00,
301291,00000285,false,Rx,0,8,00,00,03,3A,7A,00,08,10,
306291,00000362,false,Rx,0,8,04,03,10,03,00,00,00,00,
311291,00000373,false,Rx,0,8,C3,C2,7F,BC,0C,A3,80,06,
316291,00000424,false,Rx,0,8,05,7C,00,1F,09,4B,00,00,
326291,00000362,false,Rx,0,8,04,03,10,01,00,00,00,00,
336291,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
341291,00000732,false,Rx,0,8,03,E8,03,E8,64,64,40,40,
346291,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
351291,00000389,false,Rx,0,8,97,00,00,40,40,00,00,00,
356291,00000424,false,Rx,0,8,05,7D,00,1F,09,4B,00,00,
366291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
371291,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
376291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
386291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
391291,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
396291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
406291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
411291,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
416291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
426291,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
431291,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
436291,00000285,false,Rx,0,8,00,00,03,38,7B,00,08,10,
446291,00000285,false,Rx,0,8,00,00,13,38,7B,00,08,10,
